voter,position,book,author,top100
"Self, John",10,A Prayer for Owen Meany,"Irving, John",FALSE
"Boyne, John",3,The Cider House Rules,"Irving, John",FALSE
"Rustin, Susanna",6,Klara and the Sun,"Ishiguro, Kazuo",FALSE
"Silcox, Beejay",3,Never Let Me Go,"Ishiguro, Kazuo",TRUE
"Northedge, Charlotte",6,Never Let Me Go,"Ishiguro, Kazuo",TRUE
"Knight, Lucy",6,Never Let Me Go,"Ishiguro, Kazuo",TRUE
"Harrison, M. John",9,Never Let Me Go,"Ishiguro, Kazuo",TRUE
"Murata, Sayaka",5,Never Let Me Go,"Ishiguro, Kazuo",TRUE
"Clark, Clare",9,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Lynskey, Dorian",3,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Dunthorne, Joe",8,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Self, John",2,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Day, Jon",3,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Myerson, Julie",2,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"de Waal, Kit",1,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Wilson, Laura",10,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Moore, Lorrie",6,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Kuang, RF",8,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Collins, Sara",7,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Cain, Sian",9,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Dawoor, Yagnishsing",9,The Remains of the Day,"Ishiguro, Kazuo",TRUE
"Mendelson, Charlotte",10,The Haunting of Hill House,"Jackson, Shirley",FALSE
"Carson, Jan",6,We Have Always Lived in the Castle,"Jackson, Shirley",FALSE
"Harris, Joanne",3,We Have Always Lived in the Castle,"Jackson, Shirley",FALSE
"Hadley, Tessa",9,The Ambassadors,"James, Henry",FALSE
"Crewe, Tom",10,The Ambassadors,"James, Henry",FALSE
"Taylor, Catherine",3,The Golden Bowl,"James, Henry",TRUE
"Tóibín, Colm",2,The Golden Bowl,"James, Henry",TRUE
"Patterson, Ian",2,The Golden Bowl,"James, Henry",TRUE
"Rose, Jacqueline",5,The Golden Bowl,"James, Henry",TRUE
"Chabon, Michael",5,The Golden Bowl,"James, Henry",TRUE
"Solomon, Andrew",5,The Portrait of a Lady,"James, Henry",TRUE
"Markovits, Ben",6,The Portrait of a Lady,"James, Henry",TRUE
"Higgins, Charlotte",9,The Portrait of a Lady,"James, Henry",TRUE
"Nicholls, David",4,The Portrait of a Lady,"James, Henry",TRUE
"Batuman, Elif",3,The Portrait of a Lady,"James, Henry",TRUE
"Dyer, Geoff",4,The Portrait of a Lady,"James, Henry",TRUE
"Lee, Hermione",8,The Portrait of a Lady,"James, Henry",TRUE
"Calder, Jem",3,The Portrait of a Lady,"James, Henry",TRUE
"Power, Kevin",10,The Portrait of a Lady,"James, Henry",TRUE
"Feigel, Lara",8,The Portrait of a Lady,"James, Henry",TRUE
"Allardice, Lisa",8,The Portrait of a Lady,"James, Henry",TRUE
"Emre, Merve",8,The Portrait of a Lady,"James, Henry",TRUE
"Anil, Pratinav",5,The Portrait of a Lady,"James, Henry",TRUE
"Leith, Sam",3,The Portrait of a Lady,"James, Henry",TRUE
"Churchwell, Sarah",5,The Portrait of a Lady,"James, Henry",TRUE
"Rustin, Susanna",3,The Portrait of a Lady,"James, Henry",TRUE
"Myerson, Julie",10,The Turn of the Screw,"James, Henry",TRUE
"Mosse, Kate",5,The Turn of the Screw,"James, Henry",TRUE
"Hughes, Kathryn",10,The Turn of the Screw,"James, Henry",TRUE
"Tuttle, Lisa",3,The Turn of the Screw,"James, Henry",TRUE
"Churchwell, Sarah",2,The Wings of a Dove,"James, Henry",FALSE
"Moore, Lorrie",10,Washington Square,"James, Henry",FALSE
"Evaristo, Bernardine",2,The Book of Night Women,"James, Marlon",FALSE
"Rundell, Katherine",9,Moominland Midwinter,"Jansson, Tove",FALSE
"Smith, Ali",10,The Summer Book,"Jansson, Tove",FALSE
"Knight, Lucy",3,The Summer Book,"Jansson, Tove",FALSE
"Moss, Sarah",4,The Summer Book,"Jansson, Tove",FALSE
"Akbar, Arifa",6,The Piano Teacher,"Jelinek, Elfriede",FALSE
"Mackintosh, Sophie",4,The Piano Teacher,"Jelinek, Elfriede",FALSE
